Unnamed,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
172,Lenovo,Notebook,15.6,1366x768,AMD A6-Series 9220 2.9GHz,4GB,300,AMD Radeon R4 Graphics,No OS,172.37,16463.52
173,Toshiba,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,790,Intel HD Graphics 620,Windows 10,173.37,26053.92
174,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,790,Nvidia GeForce 930MX,Windows 10,174.37,49177.44
175,Dell,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,8GB,790,Intel HD Graphics 620,Windows 10,175.37,24455.52
176,Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,304,Intel HD Graphics 520,Windows 10,176.37,23922.72
177,MSI,Gaming,18.4,Full HD 1920x1080,Intel Core i7 6920HQ 2.9GHz,32GB,305,Nvidia GTX 980 SLI,Windows 10,177.37,149130.72
178,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,306,AMD R17M-M1-70,Windows 10,178.37,43316.64
179,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8GB,307,Intel UHD Graphics 620,Windows 10,179.37,79866.72
180,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,308,AMD Radeon 530,Linux,180.37,55890.72
181,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,309,Intel UHD Graphics 620,Windows 10,181.37,74538.72
182,Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,310,Intel UHD Graphics 620,Windows 10,182.37,98514.72
183,Toshiba,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,311,Intel HD Graphics 620,Windows 10,183.37,42251.04
184,Xiaomi,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,312,Nvidia GeForce MX150,No OS,184.37,63882.72
185,Dell,Notebook,17.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,313,Nvidia GeForce 150MX,Windows 10,185.37,82530.72
186,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,314,Nvidia GeForce GTX 1050,Windows 10,186.37,127712.16
187,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,315,Nvidia GeForce GTX 1050,No OS,187.37,41505.12
188,Acer,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7Y54 1.2GHz,8GB,790,Intel HD Graphics 615,Windows 10,188.37,52693.92
189,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,317,AMD Radeon 530,Windows 10,189.37,57808.8
652,Dell,Notebook,17.3,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,8GB,318,AMD Radeon 530,Windows 10,190.37,60199.84426
191,Vero,Notebook,14,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,319,Intel HD Graphics 500,Windows 10,191.37,13852.8
192,Xiaomi,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,320,Nvidia GeForce MX150,No OS,192.37,53274.672
193,Lenovo,Notebook,17.3,1600x900,Intel Core i5 8250U 1.6GHz,8GB,321,Nvidia GeForce MX150,No OS,193.37,37189.44
194,Dell,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,322,Intel UHD Graphics 620,Windows 10,194.37,44701.92
195,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,323,Nvidia GeForce 930MX,Windows 10,195.37,48697.92
196,Razer,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,32GB,324,Nvidia GeForce GTX 1080,Windows 10,196.37,324954.72
197,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,325,Intel UHD Graphics 620,Windows 10,197.37,51095.52
198,HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,326,Nvidia GeForce GTX 1050,Windows 10,198.37,73473.12
199,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,327,Nvidia GeForce 930MX ,Windows 10,199.37,55677.6
200,Dell,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,328,Nvidia GeForce GTX 1060,Windows 10,200.37,98301.6
201,Lenovo,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,329,Intel HD Graphics 520,Windows 10,201.37,26267.04
202,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,330,Nvidia GeForce 940MX,Windows 10,202.37,39533.76
203,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,331,Nvidia GeForce GTX 1060,Windows 10,203.37,93186.72
204,Dell,Workstation,15.6,4K Ultra HD 3840x2160,Intel Xeon E3-1505M V6 3GHz,16GB,332,Nvidia Quadro M1200,Windows 10,204.37,162770.4
205,Lenovo,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,333,Nvidia GeForce GTX 1060,No OS,205.37,74485.44
206,Dell,Notebook,15.6,Touchscreen 1366x768,Intel Core i3 7100U 2.4GHz,6GB,790,Intel HD Graphics 620,Windows 10,206.37,23389.92
207,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,8GB,335,Intel UHD Graphics 620,Windows 10,207.37,103842.72
208,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,336,Intel UHD Graphics 620,Windows 10,208.37,77202.72
652,Dell,Notebook,13.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,337,Intel UHD Graphics 620,Windows 10,209.37,60199.84426
210,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,338,Nvidia GeForce GTX 1050,Linux,210.37,41505.12
211,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,339,Nvidia GeForce GTX 1050,Windows 10,211.37,74964.96
212,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,340,Intel HD Graphics 520,No OS,212.37,18594.72
213,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,341,Intel HD Graphics 620,No OS,213.37,29250.72
214,Huawei,Ultrabook,13,IPS Panel Full HD 2160x1440,Intel Core i7 7500U 2.7GHz,8GB,342,Intel HD Graphics 620,Windows 10,214.37,79866.72
215,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,343,AMD Radeon 530,Windows 10,215.37,49650.5664
216,Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,8GB,344,Nvidia GeForce GTX 940MX,No OS,216.37,31381.92
217,HP,Notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,345,Nvidia GeForce 930MX,Windows 10,217.37,54931.68
218,Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,346,Intel UHD Graphics 620,Windows 10,218.37,61218.72
219,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,347,Intel UHD Graphics 620,Windows 10,219.37,68145.12
220,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,348,AMD Radeon 520,Linux,220.37,36089.208
221,Lenovo,2 in 1 Convertible,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,790,Intel UHD Graphics 620,Windows 10,221.37,47898.72
222,Toshiba,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,350,Intel HD Graphics 520,Windows 10,222.37,72620.64
223,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,351,Intel UHD Graphics 620,Windows 10,223.37,42304.32
224,Dell,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,352,Nvidia GeForce GTX 1060,Windows 10,224.37,130873.7952
225,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,353,Nvidia GeForce 940MX,Windows 10,225.37,44328.96
226,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,354,AMD Radeon R7 M445,Windows 10,226.37,45768.0528
227,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,355,Nvidia GeForce 920MX ,Windows 10,227.37,40972.32
228,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,356,Nvidia GeForce GTX 950M,Windows 10,228.37,47472.48
229,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,357,AMD FirePro W4190M ,Windows 10,229.37,60199.84426
230,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,358,Intel HD Graphics 620,Windows 10,230.37,60199.84426
231,HP,Notebook,15.6,1366x768,AMD E-Series 9000e 1.5GHz,4GB,359,AMD Radeon R2,Windows 10,231.37,60199.84426
232,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,360,Nvidia GeForce GTX 1060,Windows 10,232.37,60199.84426
233,Dell,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,361,Nvidia GeForce GTX 1060,Windows 10,233.37,60199.84426
234,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,362,Nvidia GeForce GTX 1060,Windows 10,234.37,60199.84426
235,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,363,Nvidia GeForce GTX 1060,Windows 10,235.37,47898.72
236,Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,364,Nvidia GeForce GTX 1060,Windows 10,236.37,20779.2
237,Asus,Notebook,15.6,Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4GB,365,Nvidia GeForce GTX 1060,Windows 10,237.37,30636
238,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,32GB,366,Nvidia GeForce GTX 1060,Windows 10,238.37,207259.2
239,Acer,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,367,Nvidia GeForce GTX 1060,Windows 10,239.37,45074.88
240,Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8GB,368,Nvidia GeForce GTX 1060,Windows 10,240.37,31381.92
241,Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,790,Nvidia GeForce 150MX,Windows 10,241.37,61005.6
242,Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,370,Nvidia GeForce GTX 950M,No OS,242.37,47365.92
243,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,371,Nvidia GeForce GTX 1050,Windows 10,243.37,46833.12
244,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,372,Intel HD Graphics 620,Windows 10,244.37,57489.12
245,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,373,AMD Radeon 530,Windows 10,245.37,52480.8
246,HP,Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,374,Intel HD Graphics 620,Windows 10,246.37,29783.52
247,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16GB,375,Nvidia GeForce GTX 1080,Windows 10,247.37,159786.72
248,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,376,Intel UHD Graphics 620,Windows 10,248.37,35964
249,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,377,Intel Iris Plus Graphics 650,macOS,249.37,108691.2
250,Dell,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,378,Intel UHD Graphics 620,Windows 10,250.37,43636.32
251,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,379,Nvidia GeForce GTX 980M,Windows 10,251.37,95850.72
252,Asus,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,380,AMD Radeon R5 M420,Windows 10,252.37,24988.32
253,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,381,Intel UHD Graphics 620,Windows 10,253.37,98514.72
254,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,382,Nvidia GeForce MX130,Windows 10,254.37,37402.56
255,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,383,Intel UHD Graphics 620,Windows 10,255.37,50562.72
256,HP,Notebook,15.6,1366x768,AMD A6-Series A6-9220 2.5GHz,8GB,384,AMD Radeon R4 Graphics,Windows 10,256.37,23757.552
257,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,790,Nvidia GeForce MX150,Windows 10,257.37,56423.52
258,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,386,Nvidia GeForce GTX 1070,Windows 10,258.37,133146.72
259,Lenovo,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,387,Nvidia GeForce GTX 1050M,Windows 10,259.37,90522.72
260,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,388,AMD Radeon 530,Windows 10,260.37,60845.76
261,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,389,Intel HD Graphics 520,No OS,261.37,23656.32
262,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,390,Intel HD Graphics 620,Windows 10,262.37,38468.16
263,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,391,Intel HD Graphics 620,Windows 10,263.37,35004.96
264,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,392,AMD Radeon R5 M430,Windows 10,264.37,30103.2
265,Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,393,Intel UHD Graphics 620,Windows 10,265.37,42570.72
266,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,394,Intel UHD Graphics 620,Windows 10,266.37,79866.72
652,Asus,Notebook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,395,Intel UHD Graphics 620,Windows 10,267.37,60199.84426
268,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,396,Nvidia GeForce 930MX ,Windows 10,268.37,54239.04
269,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,397,Intel UHD Graphics 620,Windows 10,269.37,46886.4
270,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.9GHz,8GB,398,Intel Iris Graphics 550,macOS,270.37,104370.192
271,Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,16GB,399,AMD Radeon RX 580,Windows 10,271.37,82530.72
272,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,400,AMD Radeon 520,Linux,272.37,39164.5296
273,Lenovo,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,16GB,790,Intel HD Graphics 520,Windows 10,273.37,133146.72
274,Toshiba,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,8GB,402,Nvidia GeForce 930M,Windows 10,274.37,43263.36
275,Dell,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,12GB,403,Intel HD Graphics 620,Windows 10,275.37,37992.3696
276,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,404,AMD Radeon 530,Linux,276.37,58554.72
277,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,405,Nvidia GeForce MX130,Windows 10,277.37,39693.6
278,Lenovo,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,4GB,406,Intel HD Graphics 520,Windows 10,278.37,26053.92
279,Lenovo,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,407,Nvidia GeForce MX150,No OS,279.37,45234.72
280,Lenovo,Notebook,17.3,1600x900,Intel Core i7 7500U 2.7GHz,6GB,408,Nvidia GeForce 940MX,Windows 10,280.37,45767.52
281,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,409,AMD Radeon R5 M430,Linux,281.37,22803.84
282,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,410,Nvidia GeForce GTX 1050,Windows 10,282.37,44169.12
283,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,411,Intel HD Graphics 620,Windows 10,283.37,30849.12
284,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,412,Nvidia GeForce MX150,Windows 10,284.37,50669.28
285,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,790,Intel HD Graphics 620,Windows 10,285.37,35111.52
286,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,414,Intel HD Graphics 630,Windows 10,286.37,58448.16
287,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,415,Nvidia GeForce 940MX,Windows 10,287.37,52054.56
288,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,416,Nvidia GeForce GTX 1050 Ti,Windows 10,288.37,62817.12
289,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,417,Nvidia GeForce 940MX,No OS,289.37,35112.0528
290,Acer,Notebook,15.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,2GB,418,Intel HD Graphics,Chrome OS,290.37,10602.72
291,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,419,Nvidia GeForce GTX 1050,Windows 10,291.37,63243.36
292,HP,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,8GB,420,Intel HD Graphics 520,Windows 10,292.37,26053.92
293,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,421,Nvidia GeForce GTX 1050,Windows 10,293.37,97449.12
294,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,422,Intel UHD Graphics 620,Windows 10,294.37,39373.92
295,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,423,Nvidia GeForce GTX 1060,Windows 10,295.37,69210.72
296,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,424,Nvidia GeForce GTX 1050 Ti,Linux,296.37,52161.12
297,Dell,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16GB,425,Nvidia Quadro M1200,Windows 10,297.37,153705.3408
298,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6GB,426,AMD Radeon R5 430,Windows 10,298.37,26586.72
299,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,427,Nvidia GeForce 940MX,Windows 10,299.37,78215.04
300,Asus,Notebook,14,1366x768,Intel Core i3 7100U 2.4GHz,4GB,428,Intel HD Graphics 620,Windows 10,300.37,27119.52
301,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,429,Nvidia GeForce GTX 1070,Windows 10,301.37,113060.16
302,Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6GB,430,Nvidia GeForce GTX 940M,Windows 10,302.37,34578.72
303,Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,431,Nvidia GeForce 940MX,No OS,303.37,29250.72
304,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,432,Nvidia GeForce GTX 1050 Ti,Windows 10,304.37,67399.2
305,Lenovo,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,433,Intel HD Graphics 505,No OS,305.37,19180.2672
306,HP,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,434,Intel HD Graphics 620,Windows 10,306.37,105228
307,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,435,Nvidia GeForce 930M,Windows 10,307.37,55571.04
308,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,436,Nvidia GeForce 940MX,Windows 10,308.37,43636.32
309,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,437,Intel HD Graphics 520,Windows 10,309.37,24988.32
310,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,438,Intel HD Graphics 620,Windows 10,310.37,53226.72
311,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,439,Intel UHD Graphics 620,Windows 10,311.37,133146.72
312,MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,440,Nvidia GeForce GTX 1070,Windows 10,312.37,111834.72
313,Acer,Notebook,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8GB,441,AMD Radeon R5,Windows 10,313.37,24988.32
314,Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,442,Intel HD Graphics 500,Windows 10,314.37,14652
315,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,443,AMD Radeon 530,Windows 10,315.37,44968.32
316,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,444,Intel UHD Graphics 620,Windows 10,316.37,130482.72
317,Lenovo,Notebook,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,445,Intel HD Graphics 510,Chrome OS,317.37,24503.472
318,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,446,Intel HD Graphics 620,Windows 10,318.37,52214.4
319,Acer,Notebook,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,447,Intel HD Graphics 405,Windows 10,319.37,25840.8
320,HP,Notebook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,448,Intel HD Graphics 620,Windows 10,320.37,68837.76
321,Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,4GB,449,Nvidia GeForce 920MX,Windows 10,321.37,31381.92
322,Asus,Notebook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,450,Intel HD Graphics 620,Windows 10,322.37,58288.32
323,HP,Notebook,15.6,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,8GB,451,Intel UHD Graphics 620,Windows 10,323.37,48058.56
324,Acer,Notebook,15.6,1366x768,AMD A12-Series 9720P 2.7GHz,8GB,452,AMD Radeon RX 540,Windows 10,324.37,35111.52
325,Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,453,Intel HD Graphics 500,Windows 10,325.37,15557.76
326,Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,6GB,454,Intel HD Graphics 620,Windows 10,326.37,29250.72
327,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,455,Nvidia GeForce 940MX,Windows 10,327.37,55938.672
328,HP,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,456,Intel HD Graphics 620,Windows 10,328.37,71128.8
329,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,32GB,457,Nvidia GeForce GTX 1050,Windows 10,329.37,140605.92
330,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,458,Nvidia GeForce GTX 1050 Ti,Windows 10,330.37,63882.72
331,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,459,Intel HD Graphics 620,Windows 10,331.37,50243.04
332,Asus,Notebook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,460,Intel HD Graphics 620,Windows 10,332.37,71075.52
333,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,461,Intel HD Graphics 520,Windows 10,333.37,23922.72
334,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,462,Nvidia GeForce GTX 1050,Windows 10,334.37,53226.72
335,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,463,Intel HD Graphics 620,Windows 10,335.37,67559.04
652,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,464,Intel HD Graphics 620,Windows 10,336.37,60199.84426
337,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,465,Intel HD Graphics 620,Windows 10,337.37,60952.32
338,Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,466,Intel HD Graphics 500,Linux,338.37,14651.4672
339,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,467,Nvidia GeForce 940MX,Windows 10,339.37,60885.72
340,Dell,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,468,Intel HD Graphics,Linux,340.37,14646.672
